CD_MEDICAMENT;NOM_MEDICAMENT;CONDIT_MEDICAMENT;CATG_MEDICAMENT;MARQUE_FABRI
478;Medicament478;Cond6;CategoryMed34;MarqueMed4
479;Medicament479;Cond11;CategoryMed24;MarqueMed8
480;Medicament480;Cond5;CategoryMed21;MarqueMed5
481;Medicament481;Cond1;CategoryMed5;MarqueMed20
482;Medicament482;Cond10;CategoryMed15;MarqueMed22
483;Medicament483;Cond13;CategoryMed7;MarqueMed8
484;Medicament484;Cond5;CategoryMed1;MarqueMed3
485;Medicament485;Cond13;CategoryMed40;MarqueMed14
486;Medicament486;Cond13;CategoryMed10;MarqueMed20
487;Medicament487;Cond1;CategoryMed7;MarqueMed5
488;Medicament488;Cond2;CategoryMed23;MarqueMed11
489;Medicament489;Cond6;CategoryMed38;MarqueMed10
490;Medicament490;Cond11;CategoryMed26;MarqueMed16
491;Medicament491;Cond5;CategoryMed13;MarqueMed15
492;Medicament492;Cond2;CategoryMed32;MarqueMed5
493;Medicament493;Cond13;CategoryMed27;MarqueMed9
494;Medicament494;Cond10;CategoryMed10;MarqueMed13
495;Medicament495;Cond3;CategoryMed32;MarqueMed21
496;Medicament496;Cond11;CategoryMed34;MarqueMed14
497;Medicament497;Cond5;CategoryMed32;MarqueMed18
498;Medicament498;Cond13;CategoryMed31;MarqueMed8
499;Medicament499;Cond9;CategoryMed3;MarqueMed7
500;Medicament500;Cond4;CategoryMed14;MarqueMed5
501;Medicament501;Cond7;CategoryMed31;MarqueMed7
502;Medicament502;Cond6;CategoryMed24;MarqueMed6
503;Medicament503;Cond10;CategoryMed19;MarqueMed7
504;Medicament504;Cond12;CategoryMed4;MarqueMed19
505;Medicament505;Cond1;CategoryMed21;MarqueMed15
506;Medicament506;Cond1;CategoryMed44;MarqueMed19
507;Medicament507;Cond8;CategoryMed29;MarqueMed18
508;Medicament508;Cond7;CategoryMed34;MarqueMed5
509;Medicament509;Cond3;CategoryMed48;MarqueMed6
510;Medicament510;Cond3;CategoryMed30;MarqueMed13
511;Medicament511;Cond6;CategoryMed34;MarqueMed6
512;Medicament512;Cond13;CategoryMed29;MarqueMed23
513;Medicament513;Cond8;CategoryMed16;MarqueMed11
514;Medicament514;Cond12;CategoryMed3;MarqueMed14
515;Medicament515;Cond6;CategoryMed49;MarqueMed19
516;Medicament516;Cond2;CategoryMed16;MarqueMed3
517;Medicament517;Cond8;CategoryMed29;MarqueMed17
518;Medicament518;Cond2;CategoryMed9;MarqueMed12
519;Medicament519;Cond6;CategoryMed50;MarqueMed9
520;Medicament520;Cond5;CategoryMed36;MarqueMed7
521;Medicament521;Cond5;CategoryMed41;MarqueMed6
522;Medicament522;Cond7;CategoryMed44;MarqueMed16
523;Medicament523;Cond4;CategoryMed34;MarqueMed2
524;Medicament524;Cond9;CategoryMed30;MarqueMed7
525;Medicament525;Cond7;CategoryMed1;MarqueMed19
526;Medicament526;Cond9;CategoryMed23;MarqueMed6
527;Medicament527;Cond9;CategoryMed31;MarqueMed10
528;Medicament528;Cond12;CategoryMed1;MarqueMed8
529;Medicament529;Cond9;CategoryMed41;MarqueMed1
530;Medicament530;Cond3;CategoryMed23;MarqueMed18
531;Medicament531;Cond13;CategoryMed11;MarqueMed20
532;Medicament532;Cond9;CategoryMed11;MarqueMed8
533;Medicament533;Cond7;CategoryMed25;MarqueMed6
534;Medicament534;Cond4;CategoryMed14;MarqueMed21
535;Medicament535;Cond8;CategoryMed42;MarqueMed13
536;Medicament536;Cond8;CategoryMed10;MarqueMed3
537;Medicament537;Cond13;CategoryMed8;MarqueMed14
538;Medicament538;Cond13;CategoryMed44;MarqueMed10
539;Medicament539;Cond8;CategoryMed38;MarqueMed15
540;Medicament540;Cond3;CategoryMed40;MarqueMed18
541;Medicament541;Cond13;CategoryMed30;MarqueMed9
542;Medicament542;Cond12;CategoryMed16;MarqueMed5
543;Medicament543;Cond2;CategoryMed30;MarqueMed12
544;Medicament544;Cond10;CategoryMed8;MarqueMed11
545;Medicament545;Cond12;CategoryMed1;MarqueMed10
546;Medicament546;Cond3;CategoryMed40;MarqueMed2
547;Medicament547;Cond6;CategoryMed35;MarqueMed7
548;Medicament548;Cond8;CategoryMed50;MarqueMed16
549;Medicament549;Cond8;CategoryMed14;MarqueMed7
550;Medicament550;Cond10;CategoryMed29;MarqueMed15
551;Medicament551;Cond7;CategoryMed42;MarqueMed7
552;Medicament552;Cond9;CategoryMed25;MarqueMed11
553;Medicament553;Cond7;CategoryMed45;MarqueMed14
554;Medicament554;Cond8;CategoryMed48;MarqueMed7
555;Medicament555;Cond6;CategoryMed18;MarqueMed1
556;Medicament556;Cond2;CategoryMed22;MarqueMed8
557;Medicament557;Cond13;CategoryMed21;MarqueMed12
558;Medicament558;Cond11;CategoryMed19;MarqueMed3
559;Medicament559;Cond13;CategoryMed12;MarqueMed19
560;Medicament560;Cond12;CategoryMed29;MarqueMed4
561;Medicament561;Cond8;CategoryMed42;MarqueMed8
562;Medicament562;Cond8;CategoryMed33;MarqueMed1
563;Medicament563;Cond8;CategoryMed46;MarqueMed6
564;Medicament564;Cond2;CategoryMed1;MarqueMed12
565;Medicament565;Cond4;CategoryMed44;MarqueMed3
566;Medicament566;Cond10;CategoryMed14;MarqueMed21
567;Medicament567;Cond2;CategoryMed41;MarqueMed2
568;Medicament568;Cond10;CategoryMed42;MarqueMed1
569;Medicament569;Cond11;CategoryMed37;MarqueMed6
570;Medicament570;Cond8;CategoryMed41;MarqueMed7
571;Medicament571;Cond12;CategoryMed38;MarqueMed9
572;Medicament572;Cond1;CategoryMed24;MarqueMed9
573;Medicament573;Cond2;CategoryMed16;MarqueMed18
574;Medicament574;Cond3;CategoryMed7;MarqueMed8
575;Medicament575;Cond10;CategoryMed15;MarqueMed3
576;Medicament576;Cond4;CategoryMed48;MarqueMed2
577;Medicament577;Cond3;CategoryMed11;MarqueMed22
578;Medicament578;Cond13;CategoryMed1;MarqueMed13
579;Medicament579;Cond9;CategoryMed42;MarqueMed3
580;Medicament580;Cond9;CategoryMed13;MarqueMed1
581;Medicament581;Cond5;CategoryMed6;MarqueMed6
582;Medicament582;Cond6;CategoryMed21;MarqueMed14
583;Medicament583;Cond5;CategoryMed41;MarqueMed6
584;Medicament584;Cond6;CategoryMed13;MarqueMed9
585;Medicament585;Cond13;CategoryMed5;MarqueMed9
586;Medicament586;Cond1;CategoryMed29;MarqueMed20
587;Medicament587;Cond13;CategoryMed27;MarqueMed5
588;Medicament588;Cond3;CategoryMed31;MarqueMed7
589;Medicament589;Cond6;CategoryMed27;MarqueMed7
590;Medicament590;Cond10;CategoryMed45;MarqueMed7
591;Medicament591;Cond13;CategoryMed47;MarqueMed13
592;Medicament592;Cond10;CategoryMed48;MarqueMed10
593;Medicament593;Cond4;CategoryMed9;MarqueMed3
594;Medicament594;Cond11;CategoryMed6;MarqueMed9
595;Medicament595;Cond7;CategoryMed34;MarqueMed9
596;Medicament596;Cond3;CategoryMed48;MarqueMed5
597;Medicament597;Cond6;CategoryMed7;MarqueMed18
598;Medicament598;Cond2;CategoryMed21;MarqueMed4
599;Medicament599;Cond5;CategoryMed40;MarqueMed17
600;Medicament600;Cond1;CategoryMed26;MarqueMed23
601;Medicament601;Cond12;CategoryMed29;MarqueMed8
602;Medicament602;Cond7;CategoryMed1;MarqueMed23
603;Medicament603;Cond5;CategoryMed24;MarqueMed6
604;Medicament604;Cond13;CategoryMed6;MarqueMed4
605;Medicament605;Cond7;CategoryMed26;MarqueMed15
606;Medicament606;Cond5;CategoryMed21;MarqueMed17
607;Medicament607;Cond6;CategoryMed33;MarqueMed21
608;Medicament608;Cond10;CategoryMed22;MarqueMed9
609;Medicament609;Cond2;CategoryMed5;MarqueMed23
610;Medicament610;Cond6;CategoryMed20;MarqueMed8
611;Medicament611;Cond5;CategoryMed38;MarqueMed6
612;Medicament612;Cond1;CategoryMed41;MarqueMed8
613;Medicament613;Cond7;CategoryMed20;MarqueMed16
614;Medicament614;Cond11;CategoryMed31;MarqueMed17
615;Medicament615;Cond6;CategoryMed44;MarqueMed16
616;Medicament616;Cond9;CategoryMed21;MarqueMed14
617;Medicament617;Cond4;CategoryMed37;MarqueMed5
618;Medicament618;Cond8;CategoryMed14;MarqueMed14
619;Medicament619;Cond12;CategoryMed26;MarqueMed14
620;Medicament620;Cond11;CategoryMed40;MarqueMed19
621;Medicament621;Cond1;CategoryMed13;MarqueMed18
622;Medicament622;Cond7;CategoryMed31;MarqueMed23
623;Medicament623;Cond4;CategoryMed37;MarqueMed12
624;Medicament624;Cond12;CategoryMed10;MarqueMed2
625;Medicament625;Cond12;CategoryMed30;MarqueMed18
626;Medicament626;Cond11;CategoryMed16;MarqueMed6
627;Medicament627;Cond8;CategoryMed43;MarqueMed23
628;Medicament628;Cond4;CategoryMed16;MarqueMed8
629;Medicament629;Cond11;CategoryMed4;MarqueMed12
630;Medicament630;Cond3;CategoryMed17;MarqueMed5
631;Medicament631;Cond1;CategoryMed3;MarqueMed9
632;Medicament632;Cond10;CategoryMed48;MarqueMed3
633;Medicament633;Cond5;CategoryMed43;MarqueMed6
634;Medicament634;Cond11;CategoryMed10;MarqueMed22
635;Medicament635;Cond5;CategoryMed37;MarqueMed18
636;Medicament636;Cond9;CategoryMed11;MarqueMed15
637;Medicament637;Cond2;CategoryMed41;MarqueMed19
638;Medicament638;Cond2;CategoryMed35;MarqueMed7
639;Medicament639;Cond12;CategoryMed6;MarqueMed2
640;Medicament640;Cond11;CategoryMed32;MarqueMed4
641;Medicament641;Cond11;CategoryMed45;MarqueMed10
642;Medicament642;Cond7;CategoryMed13;MarqueMed17
643;Medicament643;Cond8;CategoryMed36;MarqueMed13
644;Medicament644;Cond7;CategoryMed46;MarqueMed22
645;Medicament645;Cond6;CategoryMed6;MarqueMed11
646;Medicament646;Cond13;CategoryMed38;MarqueMed15
647;Medicament647;Cond3;CategoryMed35;MarqueMed21
648;Medicament648;Cond10;CategoryMed50;MarqueMed21
649;Medicament649;Cond11;CategoryMed26;MarqueMed17
650;Medicament650;Cond9;CategoryMed16;MarqueMed12
651;Medicament651;Cond11;CategoryMed3;MarqueMed1
652;Medicament652;Cond2;CategoryMed3;MarqueMed16
653;Medicament653;Cond12;CategoryMed40;MarqueMed3
654;Medicament654;Cond7;CategoryMed13;MarqueMed13
655;Medicament655;Cond3;CategoryMed21;MarqueMed11
656;Medicament656;Cond11;CategoryMed18;MarqueMed8
657;Medicament657;Cond4;CategoryMed9;MarqueMed13
658;Medicament658;Cond5;CategoryMed11;MarqueMed4
659;Medicament659;Cond7;CategoryMed41;MarqueMed12
660;Medicament660;Cond5;CategoryMed47;MarqueMed5
661;Medicament661;Cond1;CategoryMed34;MarqueMed2
662;Medicament662;Cond6;CategoryMed1;MarqueMed15
663;Medicament663;Cond12;CategoryMed48;MarqueMed12
664;Medicament664;Cond8;CategoryMed32;MarqueMed1
665;Medicament665;Cond8;CategoryMed44;MarqueMed1
666;Medicament666;Cond13;CategoryMed10;MarqueMed7
667;Medicament667;Cond6;CategoryMed12;MarqueMed18
668;Medicament668;Cond5;CategoryMed27;MarqueMed11
669;Medicament669;Cond13;CategoryMed1;MarqueMed14
670;Medicament670;Cond13;CategoryMed13;MarqueMed15
671;Medicament671;Cond9;CategoryMed6;MarqueMed8
672;Medicament672;Cond13;CategoryMed9;MarqueMed6
673;Medicament673;Cond10;CategoryMed6;MarqueMed23
674;Medicament674;Cond3;CategoryMed48;MarqueMed20
675;Medicament675;Cond9;CategoryMed18;MarqueMed15
676;Medicament676;Cond3;CategoryMed14;MarqueMed19
677;Medicament677;Cond1;CategoryMed25;MarqueMed1
678;Medicament678;Cond2;CategoryMed26;MarqueMed4
679;Medicament679;Cond4;CategoryMed17;MarqueMed21
680;Medicament680;Cond6;CategoryMed35;MarqueMed1
681;Medicament681;Cond5;CategoryMed7;MarqueMed14
682;Medicament682;Cond7;CategoryMed41;MarqueMed3
683;Medicament683;Cond11;CategoryMed22;MarqueMed7
684;Medicament684;Cond5;CategoryMed27;MarqueMed17
685;Medicament685;Cond11;CategoryMed19;MarqueMed1
686;Medicament686;Cond2;CategoryMed7;MarqueMed19
687;Medicament687;Cond3;CategoryMed4;MarqueMed19
688;Medicament688;Cond2;CategoryMed11;MarqueMed21
689;Medicament689;Cond13;CategoryMed37;MarqueMed3
690;Medicament690;Cond10;CategoryMed26;MarqueMed9
691;Medicament691;Cond7;CategoryMed18;MarqueMed18
692;Medicament692;Cond8;CategoryMed4;MarqueMed23
693;Medicament693;Cond9;CategoryMed16;MarqueMed4
694;Medicament694;Cond13;CategoryMed10;MarqueMed19
695;Medicament695;Cond9;CategoryMed49;MarqueMed22
696;Medicament696;Cond8;CategoryMed6;MarqueMed15
697;Medicament697;Cond11;CategoryMed2;MarqueMed13
698;Medicament698;Cond11;CategoryMed40;MarqueMed1
699;Medicament699;Cond2;CategoryMed33;MarqueMed16
700;Medicament700;Cond3;CategoryMed18;MarqueMed9
701;Medicament701;Cond7;CategoryMed23;MarqueMed5
702;Medicament702;Cond2;CategoryMed6;MarqueMed6
703;Medicament703;Cond7;CategoryMed40;MarqueMed1
704;Medicament704;Cond8;CategoryMed47;MarqueMed10
705;Medicament705;Cond6;CategoryMed11;MarqueMed3
706;Medicament706;Cond3;CategoryMed45;MarqueMed14
707;Medicament707;Cond6;CategoryMed7;MarqueMed12
708;Medicament708;Cond3;CategoryMed43;MarqueMed11
709;Medicament709;Cond10;CategoryMed38;MarqueMed1
710;Medicament710;Cond3;CategoryMed30;MarqueMed16
711;Medicament711;Cond2;CategoryMed1;MarqueMed22
712;Medicament712;Cond3;CategoryMed41;MarqueMed18
713;Medicament713;Cond4;CategoryMed46;MarqueMed15
714;Medicament714;Cond4;CategoryMed12;MarqueMed2
715;Medicament715;Cond5;CategoryMed45;MarqueMed20
716;Medicament716;Cond9;CategoryMed4;MarqueMed17
717;Medicament717;Cond8;CategoryMed46;MarqueMed3
718;Medicament718;Cond10;CategoryMed6;MarqueMed3
719;Medicament719;Cond6;CategoryMed30;MarqueMed3
720;Medicament720;Cond12;CategoryMed3;MarqueMed22
721;Medicament721;Cond1;CategoryMed28;MarqueMed21
722;Medicament722;Cond6;CategoryMed22;MarqueMed18
723;Medicament723;Cond3;CategoryMed7;MarqueMed13
724;Medicament724;Cond7;CategoryMed3;MarqueMed5
725;Medicament725;Cond4;CategoryMed5;MarqueMed1
726;Medicament726;Cond6;CategoryMed2;MarqueMed10
727;Medicament727;Cond8;CategoryMed7;MarqueMed5
728;Medicament728;Cond13;CategoryMed42;MarqueMed22
729;Medicament729;Cond4;CategoryMed12;MarqueMed15
730;Medicament730;Cond13;CategoryMed43;MarqueMed19
731;Medicament731;Cond12;CategoryMed39;MarqueMed2
732;Medicament732;Cond3;CategoryMed11;MarqueMed8
733;Medicament733;Cond10;CategoryMed11;MarqueMed4
734;Medicament734;Cond10;CategoryMed14;MarqueMed17
735;Medicament735;Cond11;CategoryMed10;MarqueMed16
736;Medicament736;Cond9;CategoryMed46;MarqueMed19
737;Medicament737;Cond1;CategoryMed46;MarqueMed20
738;Medicament738;Cond3;CategoryMed6;MarqueMed14
739;Medicament739;Cond4;CategoryMed50;MarqueMed6
740;Medicament740;Cond8;CategoryMed41;MarqueMed8
741;Medicament741;Cond11;CategoryMed12;MarqueMed5
742;Medicament742;Cond5;CategoryMed34;MarqueMed3
743;Medicament743;Cond1;CategoryMed21;MarqueMed4
744;Medicament744;Cond12;CategoryMed41;MarqueMed9
745;Medicament745;Cond11;CategoryMed13;MarqueMed22
746;Medicament746;Cond8;CategoryMed33;MarqueMed15
747;Medicament747;Cond4;CategoryMed23;MarqueMed13
748;Medicament748;Cond9;CategoryMed29;MarqueMed4
749;Medicament749;Cond4;CategoryMed17;MarqueMed22
750;Medicament750;Cond8;CategoryMed30;MarqueMed9
751;Medicament751;Cond3;CategoryMed21;MarqueMed18
752;Medicament752;Cond8;CategoryMed5;MarqueMed23
753;Medicament753;Cond9;CategoryMed13;MarqueMed19
754;Medicament754;Cond12;CategoryMed11;MarqueMed18
755;Medicament755;Cond1;CategoryMed34;MarqueMed4
756;Medicament756;Cond13;CategoryMed41;MarqueMed22
757;Medicament757;Cond11;CategoryMed34;MarqueMed22
758;Medicament758;Cond11;CategoryMed47;MarqueMed5
759;Medicament759;Cond1;CategoryMed34;MarqueMed6
760;Medicament760;Cond6;CategoryMed41;MarqueMed18
761;Medicament761;Cond13;CategoryMed29;MarqueMed12
762;Medicament762;Cond1;CategoryMed29;MarqueMed12
763;Medicament763;Cond6;CategoryMed22;MarqueMed23
764;Medicament764;Cond1;CategoryMed19;MarqueMed22
765;Medicament765;Cond9;CategoryMed26;MarqueMed7
766;Medicament766;Cond4;CategoryMed16;MarqueMed9
767;Medicament767;Cond12;CategoryMed8;MarqueMed21
768;Medicament768;Cond5;CategoryMed41;MarqueMed4
769;Medicament769;Cond5;CategoryMed34;MarqueMed21
770;Medicament770;Cond11;CategoryMed10;MarqueMed6
771;Medicament771;Cond13;CategoryMed12;MarqueMed12
772;Medicament772;Cond13;CategoryMed20;MarqueMed10
773;Medicament773;Cond5;CategoryMed37;MarqueMed5
774;Medicament774;Cond1;CategoryMed15;MarqueMed15
775;Medicament775;Cond10;CategoryMed15;MarqueMed10
776;Medicament776;Cond12;CategoryMed19;MarqueMed9
777;Medicament777;Cond13;CategoryMed23;MarqueMed1
778;Medicament778;Cond13;CategoryMed7;MarqueMed12
779;Medicament779;Cond11;CategoryMed36;MarqueMed12
780;Medicament780;Cond1;CategoryMed23;MarqueMed6
781;Medicament781;Cond5;CategoryMed50;MarqueMed23
782;Medicament782;Cond4;CategoryMed10;MarqueMed1
783;Medicament783;Cond13;CategoryMed49;MarqueMed13
784;Medicament784;Cond10;CategoryMed12;MarqueMed3
785;Medicament785;Cond13;CategoryMed2;MarqueMed5
786;Medicament786;Cond1;CategoryMed9;MarqueMed17
787;Medicament787;Cond7;CategoryMed16;MarqueMed2
788;Medicament788;Cond8;CategoryMed17;MarqueMed12
789;Medicament789;Cond1;CategoryMed2;MarqueMed4
790;Medicament790;Cond8;CategoryMed49;MarqueMed2
791;Medicament791;Cond9;CategoryMed6;MarqueMed19
792;Medicament792;Cond13;CategoryMed47;MarqueMed14
793;Medicament793;Cond10;CategoryMed27;MarqueMed3
794;Medicament794;Cond2;CategoryMed50;MarqueMed9
795;Medicament795;Cond13;CategoryMed29;MarqueMed12
796;Medicament796;Cond12;CategoryMed39;MarqueMed20
797;Medicament797;Cond10;CategoryMed19;MarqueMed4
798;Medicament798;Cond12;CategoryMed29;MarqueMed7
799;Medicament799;Cond6;CategoryMed23;MarqueMed2
800;Medicament800;Cond7;CategoryMed13;MarqueMed2
801;Medicament801;Cond9;CategoryMed31;MarqueMed10
802;Medicament802;Cond9;CategoryMed26;MarqueMed10
803;Medicament803;Cond7;CategoryMed29;MarqueMed17
804;Medicament804;Cond4;CategoryMed33;MarqueMed14
805;Medicament805;Cond1;CategoryMed47;MarqueMed14
806;Medicament806;Cond2;CategoryMed29;MarqueMed15
807;Medicament807;Cond7;CategoryMed18;MarqueMed9
808;Medicament808;Cond8;CategoryMed3;MarqueMed19
809;Medicament809;Cond12;CategoryMed39;MarqueMed15
810;Medicament810;Cond10;CategoryMed26;MarqueMed18
811;Medicament811;Cond9;CategoryMed40;MarqueMed3
812;Medicament812;Cond12;CategoryMed40;MarqueMed13
813;Medicament813;Cond3;CategoryMed35;MarqueMed17
814;Medicament814;Cond4;CategoryMed23;MarqueMed21
815;Medicament815;Cond1;CategoryMed43;MarqueMed14
816;Medicament816;Cond8;CategoryMed35;MarqueMed9
817;Medicament817;Cond3;CategoryMed28;MarqueMed13
818;Medicament818;Cond13;CategoryMed36;MarqueMed21
819;Medicament819;Cond8;CategoryMed3;MarqueMed6
820;Medicament820;Cond1;CategoryMed48;MarqueMed6
821;Medicament821;Cond7;CategoryMed29;MarqueMed5
822;Medicament822;Cond6;CategoryMed40;MarqueMed4
823;Medicament823;Cond7;CategoryMed22;MarqueMed18
824;Medicament824;Cond12;CategoryMed36;MarqueMed11
825;Medicament825;Cond8;CategoryMed44;MarqueMed5
826;Medicament826;Cond6;CategoryMed50;MarqueMed4
827;Medicament827;Cond6;CategoryMed16;MarqueMed17
828;Medicament828;Cond12;CategoryMed25;MarqueMed2
829;Medicament829;Cond2;CategoryMed18;MarqueMed1
830;Medicament830;Cond4;CategoryMed45;MarqueMed17
831;Medicament831;Cond13;CategoryMed13;MarqueMed1
832;Medicament832;Cond10;CategoryMed1;MarqueMed3
833;Medicament833;Cond10;CategoryMed29;MarqueMed5
834;Medicament834;Cond3;CategoryMed9;MarqueMed19
835;Medicament835;Cond2;CategoryMed5;MarqueMed14
836;Medicament836;Cond10;CategoryMed36;MarqueMed13
837;Medicament837;Cond11;CategoryMed2;MarqueMed22
838;Medicament838;Cond5;CategoryMed22;MarqueMed20
839;Medicament839;Cond10;CategoryMed21;MarqueMed13
840;Medicament840;Cond4;CategoryMed1;MarqueMed10
841;Medicament841;Cond8;CategoryMed35;MarqueMed17
842;Medicament842;Cond2;CategoryMed39;MarqueMed4
843;Medicament843;Cond2;CategoryMed25;MarqueMed19
844;Medicament844;Cond1;CategoryMed25;MarqueMed18
845;Medicament845;Cond12;CategoryMed30;MarqueMed10
846;Medicament846;Cond8;CategoryMed5;MarqueMed9
847;Medicament847;Cond2;CategoryMed45;MarqueMed11
848;Medicament848;Cond7;CategoryMed23;MarqueMed6
849;Medicament849;Cond8;CategoryMed47;MarqueMed15
850;Medicament850;Cond4;CategoryMed15;MarqueMed22
851;Medicament851;Cond3;CategoryMed29;MarqueMed22
852;Medicament852;Cond3;CategoryMed10;MarqueMed15
853;Medicament853;Cond8;CategoryMed29;MarqueMed12
854;Medicament854;Cond13;CategoryMed8;MarqueMed6
855;Medicament855;Cond13;CategoryMed29;MarqueMed4
856;Medicament856;Cond6;CategoryMed37;MarqueMed9
857;Medicament857;Cond3;CategoryMed32;MarqueMed10
858;Medicament858;Cond12;CategoryMed39;MarqueMed22
859;Medicament859;Cond5;CategoryMed12;MarqueMed1
860;Medicament860;Cond10;CategoryMed24;MarqueMed13
861;Medicament861;Cond3;CategoryMed38;MarqueMed17
862;Medicament862;Cond4;CategoryMed6;MarqueMed20
863;Medicament863;Cond6;CategoryMed15;MarqueMed14
864;Medicament864;Cond4;CategoryMed25;MarqueMed19
865;Medicament865;Cond12;CategoryMed17;MarqueMed13
866;Medicament866;Cond9;CategoryMed49;MarqueMed12
867;Medicament867;Cond2;CategoryMed9;MarqueMed13
868;Medicament868;Cond9;CategoryMed29;MarqueMed4
869;Medicament869;Cond1;CategoryMed3;MarqueMed8
870;Medicament870;Cond4;CategoryMed49;MarqueMed23
871;Medicament871;Cond2;CategoryMed3;MarqueMed8
872;Medicament872;Cond1;CategoryMed30;MarqueMed18
873;Medicament873;Cond5;CategoryMed1;MarqueMed5
874;Medicament874;Cond9;CategoryMed31;MarqueMed20
875;Medicament875;Cond8;CategoryMed33;MarqueMed17
876;Medicament876;Cond12;CategoryMed30;MarqueMed14
877;Medicament877;Cond12;CategoryMed15;MarqueMed13
878;Medicament878;Cond5;CategoryMed44;MarqueMed8
879;Medicament879;Cond8;CategoryMed48;MarqueMed3
880;Medicament880;Cond1;CategoryMed35;MarqueMed21
881;Medicament881;Cond10;CategoryMed45;MarqueMed17
882;Medicament882;Cond3;CategoryMed7;MarqueMed12
883;Medicament883;Cond4;CategoryMed25;MarqueMed7
884;Medicament884;Cond3;CategoryMed17;MarqueMed7
885;Medicament885;Cond3;CategoryMed8;MarqueMed2
886;Medicament886;Cond6;CategoryMed37;MarqueMed12
887;Medicament887;Cond4;CategoryMed5;MarqueMed16
888;Medicament888;Cond4;CategoryMed25;MarqueMed15
889;Medicament889;Cond5;CategoryMed1;MarqueMed17
890;Medicament890;Cond6;CategoryMed29;MarqueMed19
891;Medicament891;Cond8;CategoryMed5;MarqueMed19
892;Medicament892;Cond1;CategoryMed7;MarqueMed9
893;Medicament893;Cond7;CategoryMed1;MarqueMed23
894;Medicament894;Cond6;CategoryMed11;MarqueMed9
895;Medicament895;Cond3;CategoryMed3;MarqueMed2
896;Medicament896;Cond7;CategoryMed33;MarqueMed13
897;Medicament897;Cond11;CategoryMed35;MarqueMed14
898;Medicament898;Cond7;CategoryMed48;MarqueMed2
899;Medicament899;Cond2;CategoryMed23;MarqueMed1
900;Medicament900;Cond11;CategoryMed14;MarqueMed22
901;Medicament901;Cond2;CategoryMed43;MarqueMed9
902;Medicament902;Cond4;CategoryMed7;MarqueMed14
903;Medicament903;Cond9;CategoryMed27;MarqueMed16
904;Medicament904;Cond4;CategoryMed1;MarqueMed3
905;Medicament905;Cond13;CategoryMed28;MarqueMed2
906;Medicament906;Cond2;CategoryMed14;MarqueMed14
907;Medicament907;Cond4;CategoryMed39;MarqueMed10
908;Medicament908;Cond12;CategoryMed41;MarqueMed17
909;Medicament909;Cond13;CategoryMed46;MarqueMed15
910;Medicament910;Cond13;CategoryMed23;MarqueMed14
911;Medicament911;Cond12;CategoryMed15;MarqueMed23
912;Medicament912;Cond10;CategoryMed48;MarqueMed22
913;Medicament913;Cond4;CategoryMed2;MarqueMed5
914;Medicament914;Cond9;CategoryMed11;MarqueMed12
915;Medicament915;Cond10;CategoryMed45;MarqueMed16
916;Medicament916;Cond3;CategoryMed26;MarqueMed5
917;Medicament917;Cond9;CategoryMed15;MarqueMed12
918;Medicament918;Cond13;CategoryMed30;MarqueMed10
919;Medicament919;Cond13;CategoryMed15;MarqueMed21
920;Medicament920;Cond5;CategoryMed30;MarqueMed3
921;Medicament921;Cond2;CategoryMed28;MarqueMed16
922;Medicament922;Cond12;CategoryMed23;MarqueMed7
923;Medicament923;Cond1;CategoryMed48;MarqueMed15
924;Medicament924;Cond7;CategoryMed23;MarqueMed17
925;Medicament925;Cond7;CategoryMed36;MarqueMed20
926;Medicament926;Cond1;CategoryMed21;MarqueMed12
927;Medicament927;Cond6;CategoryMed33;MarqueMed4
928;Medicament928;Cond4;CategoryMed8;MarqueMed10
929;Medicament929;Cond1;CategoryMed27;MarqueMed10
930;Medicament930;Cond13;CategoryMed10;MarqueMed17
931;Medicament931;Cond12;CategoryMed8;MarqueMed18
932;Medicament932;Cond6;CategoryMed22;MarqueMed11
933;Medicament933;Cond6;CategoryMed34;MarqueMed8
934;Medicament934;Cond7;CategoryMed34;MarqueMed15
935;Medicament935;Cond3;CategoryMed18;MarqueMed23
936;Medicament936;Cond6;CategoryMed20;MarqueMed14
937;Medicament937;Cond3;CategoryMed11;MarqueMed12
938;Medicament938;Cond1;CategoryMed50;MarqueMed23
939;Medicament939;Cond10;CategoryMed47;MarqueMed10
940;Medicament940;Cond5;CategoryMed36;MarqueMed23
941;Medicament941;Cond3;CategoryMed39;MarqueMed18
942;Medicament942;Cond9;CategoryMed3;MarqueMed22
943;Medicament943;Cond13;CategoryMed9;MarqueMed7
944;Medicament944;Cond6;CategoryMed31;MarqueMed4
945;Medicament945;Cond10;CategoryMed36;MarqueMed6
946;Medicament946;Cond8;CategoryMed6;MarqueMed19
947;Medicament947;Cond5;CategoryMed17;MarqueMed21
948;Medicament948;Cond3;CategoryMed37;MarqueMed7
949;Medicament949;Cond5;CategoryMed6;MarqueMed5
950;Medicament950;Cond6;CategoryMed16;MarqueMed17
951;Medicament951;Cond13;CategoryMed7;MarqueMed9
952;Medicament952;Cond5;CategoryMed7;MarqueMed10
953;Medicament953;Cond2;CategoryMed47;MarqueMed16
954;Medicament954;Cond13;CategoryMed22;MarqueMed2
955;Medicament955;Cond4;CategoryMed21;MarqueMed12
956;Medicament956;Cond1;CategoryMed33;MarqueMed9
957;Medicament957;Cond3;CategoryMed10;MarqueMed16
