NO_CHAMBRE;NOM_CHAMBRE;NO_ETAGE;NOM_BATIMENT;TYPE_CHAMBRE;PRIX_JOUR;DT_CREATION
602;C307;3;C;Type 2;35;2014-02-07
603;C308;3;C;Type 3;15;2014-02-07
604;C309;3;C;Type 3;20;2014-02-07
605;C310;3;C;Type 3;25;2014-02-07
606;C311;3;C;Type 3;15;2014-02-07
607;C312;3;C;Type 1;20;2014-02-07
608;C313;3;C;Type 4;10;2014-02-07
609;C314;3;C;Type 2;20;2014-02-07
610;C315;3;C;Type 1;20;2014-02-07
611;C316;3;C;Type 2;25;2014-02-07
612;C317;3;C;Type 2;20;2014-02-07
613;C318;3;C;Type 2;20;2014-02-07
614;C319;3;C;Type 3;20;2014-02-07
615;C320;3;C;Type 2;15;2014-02-07
616;C321;3;C;Type 2;10;2014-02-07
617;C322;3;C;Type 2;35;2014-02-07
618;C323;3;C;Type 1;15;2014-02-07
619;C324;3;C;Type 1;10;2014-02-07
620;C325;3;C;Type 4;20;2014-02-07
621;C326;3;C;Type 1;15;2014-02-07
622;C327;3;C;Type 2;15;2014-02-07
623;C328;3;C;Type 1;30;2014-02-07
624;C329;3;C;Type 1;15;2014-02-07
625;C330;3;C;Type 1;15;2014-02-07
626;C331;3;C;Type 2;10;2014-02-07
627;C332;3;C;Type 2;10;2014-02-07
628;C333;3;C;Type 1;20;2014-02-07
629;C334;3;C;Type 2;15;2014-02-07
630;C335;3;C;Type 4;10;2014-02-07
631;C336;3;C;Type 2;10;2014-02-07
632;C337;3;C;Type 1;15;2014-02-07
633;C338;3;C;Type 1;20;2014-02-07
634;C339;3;C;Type 4;15;2014-02-07
635;C340;3;C;Type 3;35;2014-02-07
636;C341;3;C;Type 3;25;2014-02-07
637;C342;3;C;Type 2;20;2014-02-07
638;C343;3;C;Type 3;20;2014-02-07
639;C344;3;C;Type 3;10;2014-02-07
640;C345;3;C;Type 2;25;2014-02-07
641;C346;3;C;Type 2;20;2014-02-07
642;C347;3;C;Type 2;20;2014-02-07
643;C348;3;C;Type 2;25;2014-02-07
644;C349;3;C;Type 1;35;2014-02-07
645;C350;3;C;Type 2;20;2014-02-07
646;C351;3;C;Type 2;10;2014-02-07
647;C352;3;C;Type 2;15;2014-02-07
648;C353;3;C;Type 3;25;2014-02-07
649;C354;3;C;Type 1;30;2014-02-07
650;C355;3;C;Type 3;30;2014-02-07
651;C356;3;C;Type 2;15;2014-02-07
652;C357;3;C;Type 2;15;2014-02-07
653;C358;3;C;Type 1;25;2014-02-07
654;C359;3;C;Type 2;20;2014-02-07
655;C360;3;C;Type 1;15;2014-02-07
656;C361;3;C;Type 1;15;2014-02-07
657;C362;3;C;Type 1;15;2014-02-07
658;C363;3;C;Type 2;25;2014-02-07
659;C364;3;C;Type 1;25;2014-02-07
660;C365;3;C;Type 1;15;2014-02-07
661;C366;3;C;Type 3;15;2014-02-07
662;C367;3;C;Type 2;25;2014-02-07
663;C368;3;C;Type 2;25;2014-02-07
664;C369;3;C;Type 1;25;2014-02-07
665;C370;3;C;Type 1;25;2014-02-07
666;C371;3;C;Type 3;20;2014-02-07
667;C372;3;C;Type 2;25;2014-02-07
668;C373;3;C;Type 1;25;2014-02-07
669;C374;3;C;Type 2;25;2014-02-07
670;C375;3;C;Type 1;10;2014-02-07
671;C376;3;C;Type 3;40;2014-02-07
672;C377;3;C;Type 3;15;2014-02-07
673;C378;3;C;Type 3;35;2014-02-07
674;C379;3;C;Type 4;25;2014-02-07
675;C380;3;C;Type 2;10;2014-02-07
676;C381;3;C;Type 1;35;2014-02-07
677;C382;3;C;Type 1;15;2014-02-07
678;C383;3;C;Type 4;15;2014-02-07
679;C384;3;C;Type 3;20;2014-02-07
680;C385;3;C;Type 3;25;2014-02-07
681;C386;3;C;Type 3;25;2014-02-07
682;C387;3;C;Type 1;30;2014-02-07
683;C388;3;C;Type 1;20;2014-02-07
684;C389;3;C;Type 1;10;2014-02-07
685;C390;3;C;Type 2;20;2014-02-07
686;C391;3;C;Type 2;15;2014-02-07
687;C392;3;C;Type 3;10;2014-02-07
688;C393;3;C;Type 1;30;2014-02-07
689;C394;3;C;Type 2;20;2014-02-07
690;C395;3;C;Type 2;25;2014-02-07
691;C396;3;C;Type 1;15;2014-02-07
692;C397;3;C;Type 2;15;2014-02-07
693;C398;3;C;Type 2;20;2014-02-07
694;C399;3;C;Type 1;25;2014-02-07
695;C401;4;C;Type 2;20;2014-02-07
696;C402;4;C;Type 3;15;2014-02-07
697;C403;4;C;Type 4;20;2014-02-07
698;C404;4;C;Type 3;20;2014-02-07
699;C405;4;C;Type 1;10;2014-02-07
700;C406;4;C;Type 2;15;2014-02-07
701;C407;4;C;Type 1;15;2014-02-07
702;C408;4;C;Type 1;15;2014-02-07
703;C409;4;C;Type 4;20;2014-02-07
704;C410;4;C;Type 3;35;2014-02-07
705;C411;4;C;Type 1;25;2014-02-07
706;C412;4;C;Type 1;30;2014-02-07
707;C413;4;C;Type 3;30;2014-02-07
708;C414;4;C;Type 2;25;2014-02-07
709;C415;4;C;Type 3;30;2014-02-07
710;C416;4;C;Type 3;30;2014-02-07
711;C417;4;C;Type 1;15;2014-02-07
712;C418;4;C;Type 2;10;2014-02-07
713;C419;4;C;Type 1;15;2014-02-07
714;C420;4;C;Type 1;15;2014-02-07
715;C421;4;C;Type 1;10;2014-02-07
716;C422;4;C;Type 2;10;2014-02-07
717;C423;4;C;Type 2;10;2014-02-07
718;C424;4;C;Type 1;30;2014-02-07
719;C425;4;C;Type 4;25;2014-02-07
720;C426;4;C;Type 5;25;2014-02-07
721;C427;4;C;Type 3;25;2014-02-07
722;C428;4;C;Type 2;15;2014-02-07
723;C429;4;C;Type 1;35;2014-02-07
724;C430;4;C;Type 1;25;2014-02-07
725;C431;4;C;Type 2;15;2014-02-07
726;C432;4;C;Type 1;20;2014-02-07
727;C433;4;C;Type 2;15;2014-02-07
728;C434;4;C;Type 2;15;2014-02-07
729;C435;4;C;Type 1;15;2014-02-07
730;C436;4;C;Type 3;15;2014-02-07
731;C437;4;C;Type 2;20;2014-02-07
732;C438;4;C;Type 3;10;2014-02-07
733;C439;4;C;Type 2;20;2014-02-07
734;C440;4;C;Type 2;15;2014-02-07
735;C441;4;C;Type 2;10;2014-02-07
736;C442;4;C;Type 2;20;2014-02-07
737;C443;4;C;Type 1;30;2014-02-07
738;C444;4;C;Type 2;20;2014-02-07
739;C445;4;C;Type 1;25;2014-02-07
740;C446;4;C;Type 1;40;2014-02-07
741;C447;4;C;Type 2;30;2014-02-07
742;C448;4;C;Type 2;20;2014-02-07
743;C449;4;C;Type 2;35;2014-02-07
744;C450;4;C;Type 1;30;2014-02-07
745;C451;4;C;Type 2;15;2014-02-07
746;C452;4;C;Type 4;15;2014-02-07
747;C453;4;C;Type 1;30;2014-02-07
748;C454;4;C;Type 2;25;2014-02-07
749;C455;4;C;Type 1;15;2014-02-07
750;C456;4;C;Type 1;20;2014-02-07
751;C457;4;C;Type 1;10;2014-02-07
752;C458;4;C;Type 1;15;2014-02-07
753;C459;4;C;Type 2;10;2014-02-07
754;C460;4;C;Type 5;20;2014-02-07
755;C461;4;C;Type 1;25;2014-02-07
756;C462;4;C;Type 4;15;2014-02-07
757;C463;4;C;Type 4;20;2014-02-07
758;C464;4;C;Type 3;20;2014-02-07
759;C465;4;C;Type 1;25;2014-02-07
760;C466;4;C;Type 1;15;2014-02-07
761;C467;4;C;Type 1;20;2014-02-07
762;C468;4;C;Type 3;25;2014-02-07
763;C469;4;C;Type 2;25;2014-02-07
764;C470;4;C;Type 5;15;2014-02-07
765;C471;4;C;Type 2;15;2014-02-07
766;C472;4;C;Type 2;20;2014-02-07
767;C473;4;C;Type 1;15;2014-02-07
768;C474;4;C;Type 5;25;2014-02-07
769;C475;4;C;Type 1;15;2014-02-07
770;C476;4;C;Type 2;20;2014-02-07
771;C477;4;C;Type 2;25;2014-02-07
772;C478;4;C;Type 1;10;2014-02-07
773;C479;4;C;Type 1;15;2014-02-07
774;C480;4;C;Type 1;20;2014-02-07
775;C481;4;C;Type 2;10;2014-02-07
776;C482;4;C;Type 4;35;2014-02-07
777;C483;4;C;Type 2;25;2014-02-07
778;C484;4;C;Type 2;20;2014-02-07
779;C485;4;C;Type 1;15;2014-02-07
780;C486;4;C;Type 3;20;2014-02-07
781;C487;4;C;Type 1;15;2014-02-07
782;C488;4;C;Type 1;35;2014-02-07
783;C489;4;C;Type 3;15;2014-02-07
784;C490;4;C;Type 3;35;2014-02-07
785;C491;4;C;Type 3;15;2014-02-07
786;C492;4;C;Type 2;20;2014-02-07
